,id,name,artists,acousticness,danceability,energy,instrumentalness,valence,loudness,genre
0,2mWJVuJsQIFg0fnRYcD8zz,The City,['Dismemberment Plan'],0.00913,0.47,0.849,0.0163,0.206,-5.558,Rock
1,334wV15Op19uPOVB7rBcxW,See Saw,['Don Covay'],0.216,0.752,0.483,2.35E-06,0.816,-11.319,Blues
2,2tzFwdFfqv8sYCfY9oxs5w,My Foolish Heart,['The Flamingos'],0.876,0.36,0.126,0,0.183,-18.683,Blues
3,7jliDaMzN6E0thdssAfiyb,Melissa,['Raul Di Blasio'],0.16,0.435,0.454,0.768,0.155,-9.521,Pop
4,29bO9viqOZEZBs5it74X3W,I Heard It Through The Grapevine - Album Version (Stereo),['Smokey Robinson & The Miracles'],0.421,0.792,0.263,0,0.933,-16.434,Blues
5,7bL5KxVFnA95ROQcmqPZAJ,Destination: Anywhere,['The Marvelettes'],0.0915,0.711,0.563,1.44E-05,0.892,-8.166,Blues
6,2CWcO0kduKYfsSHY8E3Iml,American Music,['The Blasters'],0.00873,0.448,0.873,2.88E-05,0.968,-10.266,Country
7,1We9y0dSphaMHt4owfGWpw,Misery Loves My Company,['Three Days Grace'],0.00139,0.516,0.872,0,0.556,-5.102,Rock
8,0a7JBllPQqZF0pRpKifIbm,Slow Screw Against The Wall,['Rufus & Chaka Khan'],0.715,0.336,0.084,0.884,0.123,-22.803,Electronic
9,2fQM8x52tDKW7fKsNH93hS,Somebody Bigger Than You and I,['Elvis Presley'],0.878,0.332,0.278,0.909,0.393,-13.18,Rock
10,1uxdxSC2bfUFYVqxvejVC3,Animal,['Miike Snow'],0.0096,0.772,0.721,5.85E-06,0.62,-6.651,Rock
11,4MMts6W5k8DlXFOGMFih8P,Over and Under,['Egypt Central'],7.09E-05,0.401,0.98,1.65E-06,0.317,-3.818,Metal
12,0MMdmhfFXpflLBJKq4cdYA,"Tall, Tall Trees",['Alan Jackson'],0.204,0.676,0.815,0,0.965,-6.192,Country
13,3OxhOhSLmmQsaevmBauGSG,Even If I Could,['The Mamas & The Papas'],0.788,0.549,0.751,0.000302,0.616,-7.214,Contemporary folk
14,2MAVcVr2oylw2OZ3hojWYj,'74-'75,['The Connells'],0.183,0.53,0.59,0.00227,0.43,-9.169,Rock
15,3sMleqdCDalZ6xsAQe8xuY,Booty Swing,['Parov Stelar'],0.26,0.85,0.669,0.274,0.914,-5.46,Electronic
16,35XlkvHy9WHPI4Tf9eax4t,Over the Hills and Far Away - Remaster,['Led Zeppelin'],0.0729,0.415,0.688,0.0495,0.23,-10.504,Rock
17,72hA6rKUIc8sI2Bb0eB7AY,Breakfast In America,['Supertramp'],0.517,0.568,0.526,0,0.749,-9.349,Pop
18,3JDvKwKMgXKYLa81BMogJG,Caravan - Take 8,['Van Morrison'],0.227,0.635,0.618,2.23E-05,0.565,-12.079,R&B and soul
19,2VArx6fn6Ig6HBQtvr8sH6,Ronnie,['Frankie Valli & The Four Seasons'],0.613,0.581,0.62,0,0.757,-7.597,Pop
20,3MvtzgklFDhOAC3lQJR09S,Cleopatra,['The Lumineers'],0.228,0.536,0.775,0.000143,0.485,-6.765,Contemporary folk
